time,index,YZ,Trap,Measurements,Correction,CorrectionLimit,CurrentR,CurrentL,ZReference,ZMeasured,Difference
14:44:44,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:44:47,3,Z,,5,0.27,0,0,0,162,144,18
14:44:47,5,Z,,5,0.36,0,0,0,162,138,24
14:44:48,8,Z,,5,0.36,0,0,0,162,138,24
14:44:48,11,Z,,5,0.24,0,0,0,162,146,16
14:44:48,13,Z,,5,0.555,0,0,0,162,125,37
14:44:49,16,Z,,5,0.465,0,0,0,162,131,31
14:44:49,18,Z,,5,0.255,0,0,0,162,145,17
14:44:49,20,Z,,5,0.18,0,0,0,162,150,12
14:44:49,22,Z,,5,0.165,0,0,0,162,151,11
14:44:50,24,Z,,5,0.276,0,0,0,162,143,18
14:44:50,26,Z,,5,0.12,0,0,0,162,154,8
14:44:50,28,Z,,5,0.18,0,0,0,162,150,12
14:44:51,32,Z,,5,0.15,0,0,0,162,152,10
14:44:52,34,Z,,5,0.27,0,0,0,162,144,18
14:44:52,35,Z,,5,0.09,0,0,0,162,156,6
14:44:52,36,Z,,5,0.12,0,0,0,162,154,8
14:44:52,38,Z,,5,0.195,0,0,0,162,149,13
14:44:53,40,Z,,5,0.15,0,0,0,162,152,10
14:44:53,41,Z,,5,0.24,0,0,0,162,146,16
14:44:53,42,Z,,5,0.18,0,0,0,162,150,12
14:44:54,43,Z,,5,0.165,0,0,0,162,151,11
14:44:54,46,Z,,5,0.225,0,0,0,162,147,15
14:44:54,48,Z,,5,0.18,0,0,0,162,150,12
14:44:55,49,Z,,5,0.105,0,0,0,162,155,7
14:44:55,50,Z,,5,0.105,0,0,0,162,155,7
14:44:56,51,Z,,5,-0.18,0,0,0,162,174,-12
14:44:57,54,Z,,5,-0.15,0,0,0,162,172,-10
14:44:57,56,Z,,5,0.09,0,0,0,162,156,6
14:44:58,59,Z,,5,0.105,0,0,0,162,155,7
14:44:58,63,Z,,5,0.135,0,0,0,162,153,9
14:44:59,66,Z,,5,0.12,0,0,0,162,154,8
14:44:59,68,Z,,5,0.21,0,0,0,162,148,14
14:44:59,70,Z,,5,0.21,0,0,0,162,148,14
14:45:00,72,Z,,5,0.36,0,0,0,162,138,24
14:45:00,73,Z,,5,-0.195,0,0,0,162,175,-13
14:45:00,75,Z,,5,0.135,0,0,0,162,153,9
14:45:00,77,Z,,5,0.09,0,0,0,162,156,6
14:45:00,78,Z,,5,0.105,0,0,0,162,155,7
14:45:02,82,Z,,5,0.12,0,0,0,162,154,8
14:45:02,83,Z,,5,0.105,0,0,0,162,155,7
14:45:02,,Accumulated
,,TotalY,,,-15.3837
,,TotalZ,,,-6.591
,,CalculatedZ,,,155.087
,,NumberLeft,,,36
,,NumberRight,,,35
,,NumberCenter,,,69
14:50:05,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:50:07,1,Z,,5,0.435,0,0,0,162,133,29
14:50:07,3,Z,,5,0.225,0,0,0,162,147,15
14:50:08,5,Z,,5,0.24,0,0,0,162,146,16
14:50:08,7,Z,,5,0.21,0,0,0,162,148,14
14:50:08,9,Z,,5,0.54,0,0,0,162,126,36
14:50:08,11,Z,,5,0.315,0,0,0,162,141,21
14:50:08,12,Z,,5,0.33,0,0,0,162,140,22
14:50:09,16,Z,,5,0.315,0,0,0,162,141,21
14:50:09,18,Z,,5,0.75,0,0,0,162,112,50
14:50:10,20,Z,,5,0.27,0,0,0,162,144,18
14:50:10,22,Z,,5,0.18,0,0,0,162,150,12
14:50:10,24,Z,,5,0.45,0,0,0,162,132,30
14:50:10,26,Z,,5,0.09,0,0,0,162,156,6
14:50:10,27,Z,,5,0.255,0,0,0,162,145,17
14:50:11,29,Z,,5,0.105,0,0,0,162,155,7
14:50:11,31,Z,,5,0.225,0,0,0,162,147,15
14:50:11,32,Z,,5,0.33,0,0,0,162,140,22
14:50:12,34,Z,,5,0.12,0,0,0,162,154,8
14:50:12,36,Z,,5,0.36,0,0,0,162,138,24
14:50:12,39,Z,,5,0.24,0,0,0,162,146,16
14:50:12,40,Z,,5,0.165,0,0,0,162,151,11
14:50:13,42,Z,,5,0.255,0,0,0,162,145,17
14:50:13,43,Z,,5,0.225,0,0,0,162,147,15
14:50:14,44,Z,,5,0.105,0,0,0,162,155,7
14:50:14,45,Z,,5,0.285,0,0,0,162,143,19
14:50:14,48,Z,,5,0.105,0,0,0,162,155,7
14:50:14,50,Z,,5,0.165,0,0,0,162,151,11
14:50:15,52,Z,,5,0.18,0,0,0,162,150,12
14:50:15,53,Z,,5,0.105,0,0,0,162,155,7
14:50:15,55,Z,,5,0.105,0,0,0,162,155,7
14:50:16,56,Z,,5,0.09,0,0,0,162,156,6
14:50:17,58,Z,,5,0.15,0,0,0,162,152,10
14:50:17,59,Z,,5,0.135,0,0,0,162,153,9
14:50:17,61,Z,,5,0.105,0,0,0,162,155,7
14:50:18,63,Z,,5,0.18,0,0,0,162,150,12
14:50:18,64,Z,,5,0.165,0,0,0,162,151,11
14:50:18,66,Z,,5,0.135,0,0,0,162,153,9
14:50:19,70,Z,,5,-0.105,0,0,0,162,169,-7
14:50:19,,Accumulated
,,TotalY,,,-13.2837
,,TotalZ,,,-8.355
,,CalculatedZ,,,151.1964
,,NumberLeft,,,29
,,NumberRight,,,28
,,NumberCenter,,,56
14:53:57,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:54:06,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:56:21,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:56:23,2,Z,,5,0.825,0,0,0,162,107,55
14:56:24,4,Z,,5,0.285,0,0,0,162,143,19
14:56:24,6,Z,,5,0.15,0,0,0,162,152,10
14:56:24,8,Z,,5,0.195,0,0,0,162,149,13
14:56:25,10,Z,,5,0.105,0,0,0,162,155,7
14:56:25,12,Z,,5,0.15,0,0,0,162,152,10
14:56:25,13,Z,,5,0.135,0,0,0,162,153,9
14:56:25,14,Z,,5,0.105,0,0,0,162,155,7
14:56:26,16,Z,,5,0.09,0,0,0,162,156,6
14:56:26,18,Z,,5,0.105,0,0,0,162,155,7
14:56:26,19,Z,,5,0.135,0,0,0,162,153,9
14:56:26,20,Z,,5,0.105,0,0,0,162,155,7
14:56:27,23,Z,,5,0.21,0,0,0,162,148,14
14:56:27,24,Z,,5,0.135,0,0,0,162,153,9
14:56:27,25,Z,,5,0.18,0,0,0,162,150,12
14:56:27,26,Z,,5,0.105,0,0,0,162,155,7
14:56:28,28,Z,,5,0.105,0,0,0,162,155,7
14:56:28,30,Z,,5,0.12,0,0,0,162,154,8
14:56:28,31,Z,,5,0.15,0,0,0,162,152,10
14:56:29,32,Z,,5,0.12,0,0,0,162,154,8
14:56:29,33,Z,,5,0.225,0,0,0,162,147,15
14:56:29,35,Z,,5,0.195,0,0,0,162,149,13
14:56:29,37,Z,,5,0.12,0,0,0,162,154,8
14:56:30,38,Z,,5,0.18,0,0,0,162,150,12
14:56:30,39,Z,,5,-0.12,0,0,0,162,170,-8
14:56:31,41,Z,,5,0.105,0,0,0,162,155,7
14:56:31,43,Z,,5,0.105,0,0,0,162,155,7
14:56:31,45,Z,,5,0.135,0,0,0,162,153,9
14:56:32,47,Z,,5,0.105,0,0,0,162,155,7
14:56:32,49,Z,,5,0.165,0,0,0,162,151,11
14:56:32,50,Z,,5,0.12,0,0,0,162,154,8
14:56:32,51,Z,,5,0.165,0,0,0,162,151,11
14:56:32,52,Z,,5,0.15,0,0,0,162,152,10
14:56:33,53,Z,,5,0.105,0,0,0,162,155,7
14:56:33,54,Z,,5,0.087,0,0,0,162,156,5
14:56:33,55,Z,,5,0.105,0,0,0,162,155,7
14:56:33,56,Z,,5,0.12,0,0,0,162,154,8
14:56:34,57,Z,,5,0.135,0,0,0,162,153,9
14:56:34,58,Z,,5,0.09,0,0,0,162,156,6
14:56:34,60,Z,,5,0.12,0,0,0,162,154,8
14:56:34,62,Z,,5,0.135,0,0,0,162,153,9
14:56:34,64,Z,,5,0.12,0,0,0,162,154,8
14:56:35,65,Z,,5,0.105,0,0,0,162,155,7
14:56:35,67,Z,,5,0.09,0,0,0,162,156,6
14:56:35,69,Z,,5,0.225,0,0,0,162,147,15
14:56:36,71,Z,,5,0.12,0,0,0,162,154,8
14:56:36,74,Z,,5,0.255,0,0,0,162,145,17
14:56:36,75,Z,,5,0.27,0,0,0,162,144,18
14:56:37,78,Z,,5,0.165,0,0,0,162,151,11
14:56:38,81,Z,,5,0.135,0,0,0,162,153,9
14:56:38,82,Z,,5,0.09,0,0,0,162,156,6
14:56:38,83,Z,,5,0.165,0,0,0,162,151,11
14:56:38,84,Z,,5,0.105,0,0,0,162,155,7
14:56:39,85,Z,,5,0.105,0,0,0,162,155,7
14:56:39,87,Z,,5,0.165,0,0,0,162,151,11
14:56:40,88,Z,,5,0.12,0,0,0,162,154,8
14:56:40,89,Z,,5,0.105,0,0,0,162,155,7
14:56:40,91,Z,,5,-0.138,0,0,0,162,171,-9
14:56:40,93,Z,,5,0.21,0,0,0,162,148,14
14:56:41,95,Z,,5,0.09,0,0,0,162,156,6
14:56:41,96,Z,,5,0.09,0,0,0,162,156,6
14:56:41,98,Z,,5,0.27,0,0,0,162,144,18
14:56:42,100,Z,,5,0.105,0,0,0,162,155,7
14:56:42,102,Z,,5,0.165,0,0,0,162,151,11
14:56:42,104,Z,,5,0.15,0,0,0,162,152,10
14:56:43,105,Z,,5,0.105,0,0,0,162,155,7
14:56:43,106,Z,,5,0.135,0,0,0,162,153,9
14:56:43,107,Z,,5,0.27,0,0,0,162,144,18
14:56:43,108,Z,,5,0.09,0,0,0,162,156,6
14:56:44,110,Z,,5,0.195,0,0,0,162,149,13
14:56:44,113,Z,,5,0.195,0,0,0,162,149,13
14:56:45,114,Z,,5,0.12,0,0,0,162,154,8
14:56:45,115,Z,,5,0.12,0,0,0,162,154,8
14:56:45,116,Z,,5,0.12,0,0,0,162,154,8
14:56:46,117,Z,,5,0.105,0,0,0,162,155,7
14:56:46,120,Z,,5,0.09,0,0,0,162,156,6
14:56:46,122,Z,,5,0.3,0,0,0,162,142,20
14:56:47,125,Z,,5,0.285,0,0,0,162,143,19
14:56:47,127,Z,,5,0.09,0,0,0,162,156,6
14:56:47,128,Z,,5,0.15,0,0,0,162,152,10
14:56:48,130,Z,,5,0.165,0,0,0,162,151,11
14:56:48,131,Z,,5,0.225,0,0,0,162,147,15
14:56:48,133,Z,,5,0.12,0,0,0,162,154,8
14:56:48,135,Z,,5,0.135,0,0,0,162,153,9
14:56:49,136,Z,,5,0.21,0,0,0,162,148,14
14:56:49,138,Z,,5,0.15,0,0,0,162,152,10
14:56:49,139,Z,,5,0.09,0,0,0,162,156,6
14:56:49,140,Z,,5,0.12,0,0,0,162,154,8
14:56:50,141,Z,,5,0.12,0,0,0,162,154,8
14:56:50,143,Z,,5,0.135,0,0,0,162,153,9
14:56:50,145,Z,,5,0.105,0,0,0,162,155,7
14:56:50,147,Z,,5,0.165,0,0,0,162,151,11
14:56:51,148,Z,,5,0.105,0,0,0,162,155,7
14:56:51,149,Z,,5,0.12,0,0,0,162,154,8
14:56:51,151,Z,,5,-0.09,0,0,0,162,168,-6
14:56:52,153,Z,,5,0.105,0,0,0,162,155,7
14:56:52,155,Z,,5,0.12,0,0,0,162,154,8
14:56:53,157,Z,,5,0.15,0,0,0,162,152,10
14:56:53,159,Z,,5,0.24,0,0,0,162,146,16
14:56:53,160,Z,,5,0.165,0,0,0,162,151,11
14:56:54,163,Z,,5,0.105,0,0,0,162,155,7
14:56:54,165,Z,,5,0.135,0,0,0,162,153,9
14:56:54,167,Z,,5,0.225,0,0,0,162,147,15
14:56:54,169,Z,,5,0.18,0,0,0,162,150,12
14:56:55,171,Z,,5,0.18,0,0,0,162,150,12
14:56:55,172,Z,,5,0.285,0,0,0,162,143,19
14:56:55,173,Z,,5,0.195,0,0,0,162,149,13
14:56:56,174,Z,,5,-0.165,0,0,0,162,173,-11
14:56:56,176,Z,,5,0.165,0,0,0,162,151,11
14:56:56,178,Z,,5,0.12,0,0,0,162,154,8
14:56:56,180,Z,,5,0.21,0,0,0,162,148,14
14:56:56,182,Z,,5,0.12,0,0,0,162,154,8
14:56:57,183,Z,,5,-0.165,0,0,0,162,173,-11
14:56:57,184,Z,,5,0.27,0,0,0,162,144,18
14:56:58,186,Z,,5,0.225,0,0,0,162,147,15
14:56:58,188,Z,,5,0.225,0,0,0,162,147,15
14:56:58,190,Z,,5,0.12,0,0,0,162,154,8
14:56:58,191,Z,,5,0.18,0,0,0,162,150,12
14:56:59,193,Z,,5,0.18,0,0,0,162,150,12
14:56:59,195,Z,,5,0.165,0,0,0,162,151,11
14:56:59,197,Z,,5,-0.09,0,0,0,162,168,-6
14:57:00,199,Z,,5,0.135,0,0,0,162,153,9
14:57:00,201,Z,,5,0.21,0,0,0,162,148,14
14:57:00,203,Z,,5,0.135,0,0,0,162,153,9
14:57:00,204,Z,,5,0.165,0,0,0,162,151,11
14:57:01,205,Z,,5,0.18,0,0,0,162,150,12
14:57:01,207,Z,,5,0.15,0,0,0,162,152,10
14:57:01,209,Z,,5,0.36,0,0,0,162,138,24
14:57:02,211,Z,,5,0.195,0,0,0,162,149,13
14:57:02,213,Z,,5,0.165,0,0,0,162,151,11
14:57:02,214,Z,,5,0.27,0,0,0,162,144,18
14:57:02,216,Z,,5,0.09,0,0,0,162,156,6
14:57:03,217,Z,,5,0.09,0,0,0,162,156,6
14:57:03,219,Z,,5,-0.105,0,0,0,162,169,-7
14:57:03,221,Z,,5,0.105,0,0,0,162,155,7
14:57:03,223,Z,,5,0.285,0,0,0,162,143,19
14:57:04,226,Z,,5,0.15,0,0,0,162,152,10
14:57:04,228,Z,,5,0.315,0,0,0,162,141,21
14:57:04,230,Z,,5,0.21,0,0,0,162,148,14
